Date and Time:                Thu Oct 24 15:52:27.000 2024
Software Version:             4.32.30065.0
Unstabilized Temperature (C): 16.156
Model:                        DV401_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.01223
Accumulate Cycle Time (secs): 0.01223
Frequency (Hz):               81.766
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Fully AUTO
TTL level:                    High
Time to open:                 10 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 8.25
Pixel Readout Time (usecs):   10
Serial Number:                26963
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR163:
Serial Number:                
Wavelength (nm):              600
Grating Groove Density (l/mm):600



475.05103	2807
475.30023	2697
475.54941	2721
475.79858	2748
476.04773	2722
476.29688	2808
476.54599	2776
476.7951	2771
477.04419	2805
477.29324	2786
477.54233	2861
477.79135	2845
478.04037	2883
478.2894	2968
478.53839	3017
478.78735	3073
479.03632	3200
479.28528	3172
479.53421	3365
479.78311	3434
480.03201	3611
480.28091	3782
480.52979	3960
480.77863	4213
481.02747	4504
481.27628	4806
481.52509	5128
481.77386	5566
482.02264	6053
482.27139	6500
482.52014	7070
482.76886	7738
483.01758	8448
483.26627	9248
483.51495	10062
483.76361	10826
484.01224	11809
484.26086	12656
484.50949	13712
484.75809	14625
485.00665	15655
485.25522	16538
485.50375	17474
485.75229	18280
486.00079	19195
486.2493	19954
486.4978	20596
486.74625	21177
486.99469	21684
487.24313	22097
487.49155	22465
487.73996	22735
487.98834	22865
488.23669	23004
488.48505	22951
488.73337	23007
488.98169	22848
489.23001	22698
489.47827	22501
489.72656	22315
489.97479	22069
490.22305	21676
490.47125	21410
490.71945	21109
490.96765	20762
491.21582	20368
491.46396	20052
491.7121	19618
491.96021	19250
492.20831	18878
492.45642	18379
492.70447	17999
492.95251	17636
493.20056	17179
493.44858	16820
493.69659	16394
493.94458	15987
494.19254	15670
494.44049	15278
494.68842	14915
494.93634	14552
495.18423	14238
495.43213	13918
495.67999	13616
495.92783	13321
496.17566	13040
496.42349	12744
496.6713	12445
496.91907	12145
497.16684	11890
497.41458	11511
497.66232	11175
497.91003	10821
498.15771	10480
498.4054	10084
498.65308	9699
