Date and Time:                Thu Oct 24 16:25:01.000 2024
Software Version:             4.32.30065.0
Temperature (C):              -55
Model:                        DV401_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.01223
Accumulate Cycle Time (secs): 0.01223
Frequency (Hz):               81.766
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Fully AUTO
TTL level:                    High
Time to open:                 10 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 8.25
Pixel Readout Time (usecs):   10
Serial Number:                26963
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR163:
Serial Number:                
Wavelength (nm):              600
Grating Groove Density (l/mm):600



475.05103	1462
475.30023	1381
475.54941	1414
475.79858	1428
476.04773	1411
476.29688	1424
476.54599	1418
476.7951	1421
477.04419	1422
477.29327	1405
477.54233	1429
477.79135	1403
478.04037	1421
478.2894	1416
478.53839	1433
478.78735	1405
479.03635	1449
479.28528	1384
479.53421	1436
479.78311	1414
480.03201	1428
480.28091	1406
480.52979	1412
480.77863	1421
481.02747	1433
481.27628	1418
481.52509	1422
481.77386	1428
482.02264	1431
482.27139	1411
482.52014	1407
482.76886	1417
483.01758	1431
483.26627	1430
483.51495	1446
483.76361	1386
484.01224	1460
484.26086	1385
484.50949	1441
484.75809	1402
485.00665	1444
485.25522	1390
485.50375	1437
485.75229	1412
486.00082	1438
486.2493	1435
486.4978	1404
486.74625	1424
486.99469	1417
487.24313	1413
487.49155	1432
487.73996	1418
487.98834	1415
488.23669	1441
488.48505	1404
488.7334	1426
488.98169	1407
489.23001	1424
489.4783	1404
489.72656	1418
489.97482	1429
490.22305	1426
490.47125	1421
490.71945	1421
490.96765	1423
491.21582	1432
491.46396	1424
491.7121	1409
491.96024	1416
492.20831	1425
492.45642	1424
492.70447	1421
492.95255	1433
493.20056	1416
493.44858	1416
493.69659	1423
493.94458	1430
494.19254	1435
494.44049	1422
494.68842	1433
494.93634	1424
495.18423	1429
495.43213	1434
495.67999	1418
495.92786	1438
496.17566	1420
496.42349	1423
496.6713	1430
496.91907	1430
497.16684	1416
497.41458	1425
497.66232	1429
497.91003	1424
498.15771	1435
498.4054	1434
498.65308	1453
498.90073	1422
499.14835	1442
499.39597	1437
499.64355	1417
499.89111	1422
500.13867	1431
500.38623	1454
500.63376	1428
500.88126	1428
501.12875	1456
501.37622	1419
501.62369	1458
501.87112	1428
502.11853	1434
502.36594	1459
502.61334	1456
502.86069	1432
503.10806	1437
503.35538	1474
503.60269	1426
503.85001	1468
504.09729	1449
504.34454	1477
504.5918	1449
504.83902	1459
505.08624	1475
505.33344	1447
505.5806	1470
505.82776	1483
506.07492	1453
506.32202	1460
506.56915	1481
506.81622	1483
507.06329	1475
507.31036	1480
507.5574	1483
507.80441	1487
508.05142	1532
508.2984	1492
508.54535	1497
508.7923	1507
509.03925	1510
509.28613	1522
509.53305	1543
509.77991	1506
510.02676	1528
510.27362	1526
510.52045	1560
510.76724	1537
511.01404	1552
511.2608	1566
511.50754	1560
511.75427	1581
512.00098	1584
512.24768	1570
512.49438	1595
512.74103	1605
512.98767	1601
513.23431	1620
513.4809	1642
513.72748	1654
513.97406	1631
